Session,Cell,NumSignificant,SignificantEvents
session_2024_04_23_1_MAT008,cell252,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell253,0,""
session_2024_04_23_1_MAT008,cell254,1,"rewardTime"
session_2024_04_23_1_MAT008,cell255,0,""
session_2024_04_23_1_MAT008,cell256,0,""
session_2024_04_23_1_MAT008,cell257,0,""
session_2024_04_23_1_MAT008,cell258,0,""
session_2024_04_23_1_MAT008,cell259,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell260,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell261,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell262,0,""
session_2024_04_23_1_MAT008,cell263,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell264,0,""
session_2024_04_23_1_MAT008,cell265,0,""
session_2024_04_23_1_MAT008,cell266,0,""
session_2024_04_23_1_MAT008,cell267,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell268,1,"rewardTime"
session_2024_04_23_1_MAT008,cell269,0,""
session_2024_04_23_1_MAT008,cell270,0,""
session_2024_04_23_1_MAT008,cell271,0,""
session_2024_04_23_1_MAT008,cell272,0,""
session_2024_04_23_1_MAT008,cell273,0,""
session_2024_04_23_1_MAT008,cell274,0,""
session_2024_04_23_1_MAT008,cell275,1,"rewardTime"
session_2024_04_23_1_MAT008,cell276,0,""
session_2024_04_23_1_MAT008,cell277,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell278,0,""
session_2024_04_23_1_MAT008,cell279,0,""
session_2024_04_23_1_MAT008,cell280,0,""
session_2024_04_23_1_MAT008,cell281,0,""
session_2024_04_23_1_MAT008,cell282,0,""
session_2024_04_23_1_MAT008,cell283,1,"rewardTime"
session_2024_04_23_1_MAT008,cell284,0,""
session_2024_04_23_1_MAT008,cell285,0,""
session_2024_04_23_1_MAT008,cell286,0,""
session_2024_04_23_1_MAT008,cell287,1,"rewardTime"
session_2024_04_23_1_MAT008,cell288,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell289,0,""
session_2024_04_23_1_MAT008,cell290,0,""
session_2024_04_23_1_MAT008,cell291,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell292,0,""
session_2024_04_23_1_MAT008,cell293,0,""
session_2024_04_23_1_MAT008,cell294,0,""
session_2024_04_23_1_MAT008,cell295,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell296,0,""
session_2024_04_23_1_MAT008,cell297,1,"rewardTime"
session_2024_04_23_1_MAT008,cell298,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell299,0,""
session_2024_04_23_1_MAT008,cell300,0,""
session_2024_04_23_1_MAT008,cell301,0,""
session_2024_04_23_1_MAT008,cell302,0,""
session_2024_04_23_1_MAT008,cell303,0,""
session_2024_04_23_1_MAT008,cell304,1,"rewardTime"
session_2024_04_23_1_MAT008,cell305,0,""
session_2024_04_23_1_MAT008,cell306,0,""
session_2024_04_23_1_MAT008,cell307,0,""
session_2024_04_23_1_MAT008,cell308,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell309,0,""
session_2024_04_23_1_MAT008,cell310,0,""
session_2024_04_23_1_MAT008,cell311,0,""
session_2024_04_23_1_MAT008,cell312,0,""
session_2024_04_23_1_MAT008,cell313,0,""
session_2024_04_23_1_MAT008,cell314,0,""
session_2024_04_23_1_MAT008,cell315,0,""
session_2024_04_23_1_MAT008,cell316,1,"rewardTime"
session_2024_04_23_1_MAT008,cell317,1,"rewardTime"
session_2024_04_23_1_MAT008,cell318,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell319,0,""
session_2024_04_23_1_MAT008,cell320,0,""
session_2024_04_23_1_MAT008,cell321,0,""
session_2024_04_23_1_MAT008,cell322,0,""
session_2024_04_23_1_MAT008,cell323,0,""
session_2024_04_23_1_MAT008,cell324,0,""
session_2024_04_23_1_MAT008,cell325,0,""
session_2024_04_23_1_MAT008,cell326,0,""
session_2024_04_23_1_MAT008,cell327,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell328,0,""
session_2024_04_23_1_MAT008,cell329,1,"rewardTime"
session_2024_04_23_1_MAT008,cell330,0,""
session_2024_04_23_1_MAT008,cell331,0,""
session_2024_04_23_1_MAT008,cell332,0,""
session_2024_04_23_1_MAT008,cell333,0,""
session_2024_04_23_1_MAT008,cell334,1,"rewardTime"
session_2024_04_23_1_MAT008,cell335,1,"rewardTime"
session_2024_04_23_1_MAT008,cell336,0,""
session_2024_04_23_1_MAT008,cell337,0,""
session_2024_04_23_1_MAT008,cell338,0,""
session_2024_04_23_1_MAT008,cell339,1,"rewardTime"
session_2024_04_23_1_MAT008,cell340,1,"rewardTime"
session_2024_04_23_1_MAT008,cell341,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell342,0,""
session_2024_04_23_1_MAT008,cell343,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell344,0,""
session_2024_04_23_1_MAT008,cell345,0,""
session_2024_04_23_1_MAT008,cell346,1,"rewardTime"
session_2024_04_23_1_MAT008,cell347,1,"rewardTime"
session_2024_04_23_1_MAT008,cell348,0,""
session_2024_04_23_1_MAT008,cell349,0,""
session_2024_04_23_1_MAT008,cell350,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell351,1,"rewardTime"
session_2024_04_23_1_MAT008,cell352,0,""
session_2024_04_23_1_MAT008,cell353,0,""
session_2024_04_23_1_MAT008,cell354,0,""
session_2024_04_23_1_MAT008,cell355,1,"rewardTime"
session_2024_04_23_1_MAT008,cell356,0,""
session_2024_04_23_1_MAT008,cell357,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell358,1,"rewardTime"
session_2024_04_23_1_MAT008,cell359,0,""
session_2024_04_23_1_MAT008,cell360,0,""
session_2024_04_23_1_MAT008,cell361,0,""
session_2024_04_23_1_MAT008,cell362,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell363,0,""
session_2024_04_23_1_MAT008,cell364,1,"rewardTime"
session_2024_04_23_1_MAT008,cell365,0,""
session_2024_04_23_1_MAT008,cell366,0,""
session_2024_04_23_1_MAT008,cell367,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell368,0,""
session_2024_04_23_1_MAT008,cell369,0,""
session_2024_04_23_1_MAT008,cell370,0,""
session_2024_04_23_1_MAT008,cell371,1,"rewardTime"
session_2024_04_23_1_MAT008,cell372,1,"rewardTime"
session_2024_04_23_1_MAT008,cell373,0,""
session_2024_04_23_1_MAT008,cell374,0,""
session_2024_04_23_1_MAT008,cell375,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell376,0,""
session_2024_04_23_1_MAT008,cell377,0,""
session_2024_04_23_1_MAT008,cell378,0,""
session_2024_04_23_1_MAT008,cell379,0,""
session_2024_04_23_1_MAT008,cell380,0,""
session_2024_04_23_1_MAT008,cell381,0,""
session_2024_04_23_1_MAT008,cell382,1,"rewardTime"
session_2024_04_23_1_MAT008,cell383,0,""
session_2024_04_23_1_MAT008,cell384,0,""
session_2024_04_23_1_MAT008,cell385,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell386,0,""
session_2024_04_23_1_MAT008,cell387,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell388,0,""
session_2024_04_23_1_MAT008,cell389,0,""
session_2024_04_23_1_MAT008,cell390,0,""
session_2024_04_23_1_MAT008,cell391,0,""
session_2024_04_23_1_MAT008,cell392,0,""
session_2024_04_23_1_MAT008,cell393,0,""
session_2024_04_23_1_MAT008,cell394,1,"rewardTime"
session_2024_04_23_1_MAT008,cell395,0,""
session_2024_04_23_1_MAT008,cell396,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell397,0,""
session_2024_04_23_1_MAT008,cell398,1,"rewardTime"
session_2024_04_23_1_MAT008,cell399,0,""
session_2024_04_23_1_MAT008,cell400,0,""
session_2024_04_23_1_MAT008,cell401,0,""
session_2024_04_23_1_MAT008,cell402,0,""
session_2024_04_23_1_MAT008,cell403,1,"rewardTime"
session_2024_04_23_1_MAT008,cell404,1,"rewardTime"
session_2024_04_23_1_MAT008,cell405,0,""
session_2024_04_23_1_MAT008,cell406,0,""
session_2024_04_23_1_MAT008,cell407,0,""
session_2024_04_23_1_MAT008,cell408,0,""
session_2024_04_23_1_MAT008,cell409,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell410,0,""
session_2024_04_23_1_MAT008,cell411,0,""
session_2024_04_23_1_MAT008,cell412,0,""
session_2024_04_23_1_MAT008,cell413,0,""
session_2024_04_23_1_MAT008,cell414,0,""
session_2024_04_23_1_MAT008,cell415,0,""
session_2024_04_23_1_MAT008,cell416,0,""
session_2024_04_23_1_MAT008,cell417,0,""
session_2024_04_23_1_MAT008,cell418,0,""
session_2024_04_23_1_MAT008,cell419,0,""
session_2024_04_23_1_MAT008,cell420,0,""
session_2024_04_23_1_MAT008,cell421,0,""
session_2024_04_23_1_MAT008,cell422,0,""
