,trialNumber,stimulusType,stimulusOnsetTime,rewardTime,rewardVolume,lickTimePostStim,lickTimePostReward,trialOffsets,rewardProb
83,84.0,Gabor45,1099.8952229581944,,0.0,,,34.11028529428738,0% Rewarded
84,85.0,Gabor45,1112.986051605467,,0.0,1113.094,1115.162,34.11028529428738,0% Rewarded
85,86.0,Gabor0,1124.3920276472468,1126.5302002585167,3.0,1125.8015,1126.5895,34.11028529428738,50% Rewarded
86,87.0,Gabor45,1137.2475280623094,,0.0,,,34.11028529428738,0% Rewarded
87,88.0,Gabor90,1149.1623320168246,1151.3142002913899,3.0,1150.4625,1151.2845,34.11028529428738,100% Rewarded
88,89.0,Gabor90,1160.6576100295147,1162.781200304559,3.0,1161.9965,1162.866,34.11028529428738,100% Rewarded
89,90.0,Gabor90,1172.6788183584445,1174.8277002716839,3.0,1173.952,1174.805,34.11028529428738,100% Rewarded
90,91.0,Gabor0,1183.9242427310965,,0.0,1184.865,1186.1555,34.11028529428738,50% Rewarded
91,92.0,Gabor90,1197.2942551357455,1199.4622002388085,3.0,1198.8405,1199.6795,34.11028529428738,100% Rewarded
92,93.0,Gabor90,1209.3764172877768,1211.4987002519752,3.0,1210.3045,1211.5315,34.11028529428738,100% Rewarded
93,94.0,Gabor0,1223.9373585644043,1226.0857002388088,3.0,1225.2115000000001,1226.075,34.11028529428738,50% Rewarded
94,95.0,Gabor45,1235.4020121312697,,0.0,,,34.11028529428738,0% Rewarded
95,96.0,Gabor0,1251.3055043749832,1253.4482002913899,3.0,1251.8890000000001,1253.538,34.11028529428738,50% Rewarded
96,97.0,Gabor45,1262.8341200130453,,0.0,,,34.11028529428738,0% Rewarded
97,98.0,Gabor45,1274.7078658050445,,0.0,,,34.11028529428738,0% Rewarded
98,99.0,Gabor90,1286.130871812792,1288.2832002519754,3.0,1287.4935,1288.3675,34.11028529428738,100% Rewarded
99,100.0,Gabor0,1299.2816127997623,1301.421700390266,3.0,1300.7055,1301.453,34.11028529428738,50% Rewarded
100,101.0,Gabor45,1311.1145002103901,,0.0,,,34.11028529428738,0% Rewarded
101,102.0,Gabor0,1324.5039146969775,,0.0,1326.0145,1326.7085,34.11028529428738,50% Rewarded
102,103.0,Gabor0,1338.304907021067,,0.0,1339.9525,1340.509,34.11028529428738,50% Rewarded
103,104.0,Gabor45,1349.696440416375,,0.0,,,34.11028529428738,0% Rewarded
